name,genre
A-Ko The Versus,"Action, Adventure, Comedy, Romance, Sci-Fi, Super Power"
A-Size Classmate,Hentai
A.D. Police (TV),"Action, Mecha, Sci-Fi, Shounen"
A.F,"Action, Mecha, Sci-Fi"
A.LI.CE,Sci-Fi
AD Police,"Adventure, Dementia, Mecha, Mystery, Police, Psychological, Sci-Fi, Thriller"
AIKa,"Action, Adventure, Comedy, Ecchi, Sci-Fi"
AIKa R-16: Virgin Mission,"Action, Comedy, Ecchi"
AIKa Zero,"Action, Adventure, Comedy, Ecchi"
AIKa Zero Picture Drama,Ecchi
AIKa: Special Trial,Ecchi
AKB0048,"Music, Sci-Fi"
AKB0048: Next Stage,"Music, Sci-Fi"
Aa Harimanada,"Martial Arts, Seinen, Sports"
Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! (2011),"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! (TV) Specials,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama! Movie,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Magic, Supernatural"
Aa! Megami-sama!: Sorezore no Tsubasa,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama!: Sorezore no Tsubasa Specials,"Comedy, Magic, Romance, Seinen, Supernatural"
Aa! Megami-sama!: Tatakau Tsubasa,"Comedy, Magic, Romance, Seinen, Supernatural"
Aachi wa Ssipak,"Action, Comedy"
Abarenbou Rikishi!! Matsutarou,"Seinen, Sports"
Abashiri Ikka,"Action, Comedy, Shounen"
Abenobashi Mahou☆Shoutengai,"Comedy, Ecchi, Fantasy, Parody"
Absolute Duo,"Action, Ecchi, Harem, Romance, School, Supernatural"
Abunai Sisters: Koko &amp; Mika,"Action, Comedy, Ecchi"
Accel World,"Action, Game, Romance, School, Sci-Fi"
Accel World EX,"Action, Game, Romance, School, Sci-Fi"
Accel World: Acchel World.,"Comedy, Sci-Fi"
Accel World: Infinite∞Burst,"Action, Game, Romance, School, Sci-Fi"
Accelerando: Datenshi-tachi no Sasayaki,Hentai
Acchi Kocchi,Dementia
Acchi Kocchi (TV),"Comedy, Romance, School, Seinen, Slice of Life"
Acchi Kocchi (TV): Place=Princess,"Comedy, Romance, School, Seinen, Slice of Life"
Ace wo Nerae!,"Drama, Romance, School, Shoujo, Sports"
Ace wo Nerae! (1979),"Drama, Romance, School, Shoujo, Sports"
Ace wo Nerae! 2,"Drama, Shoujo, Sports"
Ace wo Nerae!: Final Stage,"Action, Drama, Sports"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,"Comedy, Mecha, Police, Sci-Fi"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,"Comedy, Mecha, Police, Sci-Fi"
Adachi-ga Hara,Sci-Fi
Advancer Tina,"Hentai, Sci-Fi, Space"
Adventures in Beauty Wonderland,Dementia
Afro Samurai,"Action, Adventure, Samurai"
Afro Samurai Movie,"Action, Adventure, Samurai"
Afro Samurai Pilot,"Action, Martial Arts, Samurai, Seinen"
Afro Samurai: Resurrection,"Action, Adventure, Samurai"
Afro-Ken,"Comedy, Kids"
After War Gundam X,"Adventure, Drama, Mecha, Sci-Fi, Space"
After... The Animation,"Hentai, School"
Aftermath,"Drama, Military, Music"
Agatha Christie no Meitantei Poirot to Marple,"Historical, Mystery"
Agitated Screams of Maggots,"Dementia, Horror, Music"
Agukaru,"Magic, Slice of Life, Supernatural"
Ahiru Rikusentai,"Action, Historical, Kids, Military"
Ahiru no Otegara,Adventure
Ahiru no Pekkle no Sindbad no Bouken,"Adventure, Fantasy, Kids"
Ahiru no Pekkle no Suieitaikai wa Oosawagi,"Fantasy, Kids"
Ai,"Dementia, Psychological, Romance"
Ai (ONA),Romance
Ai City,"Action, Sci-Fi, Super Power"
Ai Doll,"Drama, Hentai"
Ai Mai! Moe Can Change!,"Comedy, Sci-Fi"
Ai Monogatari: 9 Love Stories,"Drama, Romance"
Ai Shimai 2: Futari no Kajitsu,Hentai
Ai Shimai Tsubomi... Kegashite Kudasai,Hentai
Ai Shimai: Futari no Kajitsu,Hentai
Ai Shoujo Pollyanna Story,"Drama, Historical, Slice of Life"
Ai Tenchi Muyou!,"Comedy, Sci-Fi, Shounen"
Ai Tenchi Muyou! Recaps,"Comedy, Sci-Fi, Shounen"
Ai Tenshi Densetsu Wedding Peach,"Adventure, Comedy, Magic, Romance, Shoujo"
Ai Tenshi Densetsu Wedding Peach DX,"Adventure, Comedy, Magic, Romance, Shoujo"
Ai Tenshi Densetsu Wedding Peach Specials,"Adventure, Comedy, Magic, Romance, Shoujo"
Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life"
Ai Yori Aoshi: Enishi,"Comedy, Drama, Harem, Romance, Slice of Life"
Ai Yori Aoshi: Enishi - Miyuki,"Comedy, Drama, Romance"
Ai Yori Aoshi: Yumegatari,"Comedy, Harem, Romance, Slice of Life"
Ai no Gakko Cuore Monogatari,"Drama, Historical, Slice of Life"
Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,Hentai
Ai no Kusabi,"Drama, Romance, Sci-Fi, Yaoi"
Ai no Kusabi (2012),"Drama, Romance, Sci-Fi, Yaoi"
Ai no Senshi Rainbowman,"Action, Adventure, Mecha, Sci-Fi"
Ai no Wakakusa Monogatari,"Drama, Historical, Slice of Life"
Ai to Yuuki no Pig Girl Tonde Buurin,"Adventure, Comedy, Fantasy, Magic, Parody, Romance, School, Shoujo"
Ai wa KAT-TUN,Comedy
Ai wa Kagi no Kazu dake... Fuuzoku Mansion,Hentai
Aikatsu!,"Music, School, Shoujo, Slice of Life"
Aikatsu! Movie,"Music, School, Shoujo, Slice of Life"
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,"Music, Shoujo"
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,"Music, School, Shoujo"
Ail Maniax: Inma Seifukugari &amp; Majogari no Yoru ni,"Demons, Hentai"
Aimai Elegy,Music
Ainone,"Drama, Music"
Air,"Drama, Romance, Slice of Life, Supernatural"
Air Gear,"Action, Comedy, Ecchi, Shounen, Sports"
Air Gear Special,"Shounen, Sports"
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,"Action, Comedy, Ecchi, Shounen, Sports"
Air Master,"Action, Comedy, Martial Arts, Seinen"
Air Movie,"Drama, Romance, Supernatural"
Air in Summer,"Comedy, Drama, Historical, Romance, Supernatural"
Airy Me,"Dementia, Drama, Horror, Music"
Aisai Nikki,Hentai
Aishen Qiaokeli-ing...,"Comedy, Harem, Romance, School"
Aishite Knight,"Comedy, Romance, Shoujo"
Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo"
Aisubeki Mirai e,Music
Aiura,"Comedy, School, Shounen, Slice of Life"
Ajimu: Kaigan Monogatari,"Comedy, Drama, Romance, School"
Ajin,"Action, Horror, Mystery, Seinen, Supernatural"
Ajin Part 1: Shoudou,"Action, Horror, Mystery, Seinen, Supernatural"
Ajin Part 2: Shoutotsu,"Action, Horror, Mystery, Seinen, Supernatural"
Ajin Part 3: Shougeki,"Action, Horror, Mystery, Seinen, Supernatural"
Ajisai no Uta,"Comedy, Drama, Historical"
Akachan to Boku,"Comedy, Drama, Shoujo"
Akagami no Shirayuki-hime,"Drama, Fantasy, Romance, Shoujo"
Akagami no Shirayuki-hime 2nd Season,"Drama, Fantasy, Romance, Shoujo"
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page","Drama, Fantasy, Romance, Shoujo"
Akage no Anne,"Drama, Historical, Slice of Life"
Akage no Anne Specials,"Drama, Historical, Kids, Shoujo, Slice of Life"
Akage no Anne: Green Gables e no Michi,"Adventure, Historical, Shoujo, Slice of Life"
Akahori Gedou Hour Rabuge,"Comedy, Magic, Parody"
Akai Boushi,"Music, Slice of Life"
Akai Hayate,"Action, Martial Arts, Super Power"
Akai Ito,"Drama, Romance, Slice of Life"
Akai Kiba: Blue Sonnet,"Action, Drama, Sci-Fi, Shoujo, Super Power"
Akai Koudan Zillion,"Action, Adventure, Military, Sci-Fi, Shounen"
Akai Koudan Zillion Specials,"Adventure, Sci-Fi, Shounen"
Akai Koudan Zillion: Utahime Yakyoku,"Adventure, Sci-Fi, Shounen"
"Akai Shouzou: Char, Soshite Frontal e","Drama, Mecha, Military, Sci-Fi, Shounen, Space"
Akakichi no Eleven,Sports
Akame ga Kill!,"Action, Adventure, Fantasy"
Akame ga Kill! Recap,"Action, Adventure, Fantasy"
Akame ga Kill! Theater,Comedy
Akane Maniax,"Comedy, Mecha, Romance"
Akaneiro ni Somaru Saka,"Comedy, Harem, Romance, School"
Akaneiro ni Somaru Saka: Hardcore,"Comedy, Ecchi, Harem, Romance"
Akaoni to Aooni no Tango,Music
Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo"
Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
Akazukin Chacha OVA,"Comedy, Fantasy, Magic"
Akebi no Hana: Maho,Hentai
Aki no Kanade,"Music, School, Slice of Life"
Aki-Sora,"Ecchi, Romance, Seinen"
Aki-Sora: Yume no Naka,"Ecchi, Romance, Seinen, Yuri"
Akiba Kei Kanojo,Hentai
Akiba-chan,"Comedy, Kids, Slice of Life"
Akihabara Dennou-gumi,"Adventure, Mecha, Sci-Fi, Shoujo"
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,"Adventure, Comedy, Mecha, Sci-Fi"
Akikan!,"Comedy, Ecchi, Fantasy, Romance"
Akikan!: Kan Ippatsu!? Onsen Panic,"Comedy, Ecchi"
Akiko,Hentai
Akina to Onsen de H Shiyo!,Hentai
Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural"
Aku no Hana,"Drama, Psychological, Romance, School"
Aku no Onna Kanbu,Hentai
Aku no Onna Kanbu: Full Moon Night,"Hentai, Supernatural"
Akubi Girl,"Comedy, Fantasy"
Akuemon,"Fantasy, Romance"
Akuma no Riddle,"Action, School, Shoujo Ai"
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,"Action, Comedy, Ecchi, Shoujo Ai"
Akuma-kun,"Adventure, Fantasy, Horror, Magic, Supernatural"
Akuma-kun (Movie),"Adventure, Fantasy, Horror, Magic, Supernatural"
Akuu Daisakusen Srungle,"Action, Mecha, Sci-Fi"
Aldnoah.Zero,"Action, Mecha, Sci-Fi"
Aldnoah.Zero 2nd Season,"Action, Mecha, Sci-Fi, Space"
Aldnoah.Zero Extra Archives,"Action, Mecha, Sci-Fi"
Alexander Senki,"Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural"
Alexander Senki Movie,"Action, Adventure, Dementia, Historical, Military, Mystery, Shounen, Supernatural"
Ali Baba to 40-hiki no Touzoku,"Action, Fantasy"
Alice SOS,Adventure
Alice in Cyberland,Action
Alien 9,"Horror, School, Sci-Fi"
Alignment You! You! The Animation,"Demons, Hentai, School, Supernatural"
All Alone With You,"Fantasy, Music"
All That Gundam,"Action, Mecha, Sci-Fi"
Allargando The Animation,Hentai
Allison to Lillia,"Action, Adventure, Shounen"
Alps Monogatari: Watashi no Annette,"Drama, Historical, Slice of Life"
Alps no Shoujo Heidi,"Drama, Historical, Slice of Life"
Alps no Shoujo Heidi (1979),"Drama, Historical, Slice of Life"
Alps no Shoujo Heidi: Alm no Yama-hen,"Drama, Historical, Slice of Life"
Alps no Shoujo Heidi: Heidi to Clara-hen,"Drama, Historical, Slice of Life"
Amaama to Inazuma,"Comedy, Seinen, Slice of Life"
Amada Anime Series: Super Mario Brothers,"Adventure, Comedy, Shounen"
Amaenaide yo!!,"Comedy, Ecchi, Harem, Romance, Supernatural"
Amaenaide yo!! Katsu!!,"Comedy, Ecchi, Harem, Romance, Supernatural"
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,"Comedy, Ecchi, Romance, Supernatural"
Amaenaide yo!!: Yasumanaide yo!!,"Comedy, Ecchi, Romance, Supernatural"
Amagami SS,"Comedy, Romance, School, Slice of Life"
Amagami SS OVA,"Romance, School"
Amagami SS+ Plus,"Comedy, Romance, School, Slice of Life"
Amagami SS+ Plus Picture Drama,Romance
Amagami SS+ Plus Specials,Romance
Amagami SS: Tachibana Miya-hen - Imouto,School
Amagi Brilliant Park,"Comedy, Magic"
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Comedy
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,Comedy
Amanatsu,Sci-Fi
Amanchu!,"Comedy, School, Shounen, Slice of Life"
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,Hentai
Amatsuki,"Action, Fantasy, Historical, Shoujo, Supernatural"
Amazing Nuts!,"Adventure, Music, Police, Romance, Sci-Fi"
Ame to Shoujo to Watashi no Tegami,Shoujo
Ame-iro Cocoa,"Comedy, Slice of Life"
Ame-iro Cocoa: Rainy Color e Youkoso!,"Comedy, Slice of Life"
Amefuri Kozou,"Fantasy, Supernatural"
Amnesia,"Fantasy, Josei, Mystery, Romance"
Amnesia OVA,"Fantasy, Shoujo"
Amon Saga,"Action, Adventure, Fantasy"
Amon: Devilman Mokushiroku,"Demons, Horror, Psychological, Supernatural"
Ana no Oku no Ii Tokoro,Hentai
Anata dake Konbanwa,Hentai
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,"Hentai, Yuri"
And And,Music
Andersen Douwa: Ningyohime,"Fantasy, Romance, Shoujo"
Andersen Monogatari,"Drama, Fantasy, Kids"
Andersen Monogatari (TV),"Drama, Fantasy, Kids"
Andes Shounen Pepero no Bouken,Adventure
Android Ana Maico 2010,"Comedy, Drama, Sci-Fi, Seinen"
Andromeda Stories,"Action, Drama, Fantasy, Sci-Fi, Space"
Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,Hentai
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,Hentai
Ane Koi: Suki Kirai Daisuki.,Hentai
Ane Kyun!: Joshi ga Ie ni Kita!,Hentai
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,"Comedy, Ecchi, Romance, Shounen, Slice of Life"
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,"Comedy, Ecchi"
Ane Log: Moyako Neesan no Tomaranai Monologue,"Comedy, Ecchi, School, Shounen"
Ane Yome Quartet,Hentai
Ane to Boin,Hentai
Aneimo,Hentai
Aneki no Kounai Kaikinbi,Hentai
Aneki... My Sweet Elder Sister The Animation,Hentai
Anemone,"Drama, Magic, Supernatural"
Ane☆Haramix,Hentai
Ange Vierge,"Adventure, Fantasy, Magic, School"
Angel,"Comedy, Hentai, School"
Angel (Special),Dementia
Angel Beats!,"Action, Comedy, Drama, School, Supernatural"
Angel Beats! Specials,"Action, Comedy, School, Supernatural"
Angel Beats!: Another Epilogue,"Drama, School, Supernatural"
Angel Blade,"Action, Demons, Hentai"
Angel Blade Punish!,"Adventure, Hentai, Magic, Sci-Fi"
Angel Blade: Cut Scene,"Hentai, Sci-Fi"
Angel Cop,"Action, Police, Sci-Fi"
Angel Core: Tenshi-tachi no Sumika,"Action, Hentai, Historical, Mecha, Military"
Angel Densetsu,"Action, Comedy, School"
Angel Heart,"Action, Drama, Mystery, Romance, Seinen"
Angel&#039;s Feather,"Drama, Fantasy, Romance, Sci-Fi, Shoujo, Shounen Ai, Supernatural"
Angelique,"Drama, Fantasy, Romance, Sci-Fi, Shoujo"
Angelique: Seichi yori Ai wo Komete,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Shoujo"
Angelique: Shiroi Tsubasa no Memoire,"Drama, Fantasy, Magic, Romance, Sci-Fi, Shoujo"
Angelique: Twin Collection,"Fantasy, Sci-Fi, Shoujo"
Angelium,Hentai
Ani*Kuri15,"Adventure, Comedy, Drama, Fantasy, Game, Magic, Martial Arts, Mecha, School, Sci-Fi, Slice of Life, Super Power, Supernatural"
"Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo",Hentai
Anima,Music
Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo"
Animation Seisaku Shinkou Kuromi-chan,"Comedy, Drama, Parody"
Animation Seisaku Shinkou Kuromi-chan 2,"Comedy, Drama, Parody"
Anime 80-nichikan Sekai Isshuu,"Adventure, Historical, Kids, Romance"
Anime Himitsu no Hanazono,"Drama, Historical, Kids, Shoujo"
Anime Koukyoushi: Jungle Taitei,"Adventure, Kids, Shounen"
Anime Oyako Gekijou,"Adventure, Fantasy, Historical, Kids, Sci-Fi"
Anime Sanjuushi,"Adventure, Drama, Historical, Romance"
Anime Sanjuushi: Aramis no Bouken,"Adventure, Historical, Romance"
Anime Tenchou,"Action, Parody"
Anime Tenchou Movie,"Action, Parody"
Anime Tenchou x Touhou Project,"Fantasy, Magic"
Anime de Wakaru Shinryounaika,"Comedy, Seinen"
Anison Nippon,"Action, Sci-Fi"
Anitore! EX,"Comedy, Sports"
Aniyome,Hentai
Aniyome wa Ijippari,Hentai
Anju to Zushioumaru,"Fantasy, Historical"
Ankoku Shindenshou Takegami,"Action, Drama, Mecha, Sci-Fi, Supernatural"
Ankoku Shinwa,"Demons, Fantasy, Horror, Mystery, Psychological, Supernatural"
Anmitsu Hime,"Comedy, Historical, Shoujo"
Anne Happy♪,"Comedy, School, Slice of Life"
Anne no Nikki,"Drama, Historical"
Anne no Nikki: Anne Frank Monogatari,"Drama, Historical"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"Drama, Slice of Life, Supernatural"
Ano Ko ni 1000%,"Romance, School, Shoujo"
Ano Ko to Ii Koto,Hentai
Ano Koro no Namida wa,"Music, Slice of Life"
Ano Natsu de Matteru,"Comedy, Drama, Romance, Sci-Fi, Slice of Life"
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.","Comedy, Drama, Romance, Sci-Fi, Slice of Life"
Another,"Horror, Mystery, School, Supernatural, Thriller"
Another: Misaki Mei - Shizuka ni,Music
Another: The Other - Inga,"Horror, Mystery, Thriller"
Ansatsu Kyoushitsu,"Action, Comedy, Shounen"
Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen"
Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen"
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,"Action, Comedy, School, Shounen"
Ansatsu Kyoushitsu (TV): Deai no Jikan,"Action, Comedy, School, Shounen"
Ansatsu Kyoushitsu: 365-nichi no Jikan,"Action, Comedy, School, Shounen"
Antinotice,Music
Anyamal Tantei Kiruminzoo,"Comedy, Magic, Shoujo"
Ao Haru Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
Ao Haru Ride OVA,"Romance, School, Shoujo, Slice of Life"
Ao no 6-gou,"Action, Adventure, Mecha, Military, Sci-Fi"
Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural"
Ao no Exorcist Movie,"Action, Demons, Fantasy, Shounen, Supernatural"
Ao no Exorcist Movie Special,"Comedy, Parody"
Ao no Exorcist: Kuro no Iede,"Action, Demons, Fantasy, Shounen, Supernatural"
Ao no Exorcist: Ura Ex,"Action, Fantasy, Shounen, Supernatural"
Ao no Kanata no Four Rhythm,"Drama, School, Sci-Fi, Sports"
Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports"
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,"Action, Comedy, Shounen"
Aoi Blink,"Adventure, Fantasy"
Aoi Bungaku Series,"Drama, Historical, Psychological, Seinen, Thriller"
Aoi Chou,Music
Aoi Hana,"Romance, Shoujo Ai, Slice of Life"
Aoi Sekai no Chuushin de,"Action, Adventure, Ecchi, Fantasy, Parody, Shounen"
Aoi Umi no Tristia,"Adventure, Mecha"
Aoki Densetsu Shoot!,"Action, Comedy, Drama, Romance, School, Shounen, Sports"
Aoki Densetsu Shoot! (Movie),"Action, Shounen, Sports"
Aoki Hagane no Arpeggio: Ars Nova,"Action, Sci-Fi, Seinen"
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,"Comedy, Parody"
Aoki Hagane no Arpeggio: Ars Nova Cadenza,"Action, Sci-Fi, Seinen"
Aoki Hagane no Arpeggio: Ars Nova DC,"Action, Sci-Fi, Seinen"
Aoki Honoo,"Drama, Romance, Seinen"
Aoki Ryuusei SPT Layzner,"Mecha, Military, Sci-Fi, Shounen, Space"
Aoki Ryuusei SPT Layzner OVA,"Action, Mecha, Military, Sci-Fi, Shounen, Space"
Aos,"Dementia, Fantasy"
Aoyama Goushou Tanpenshuu,"Adventure, Comedy, Mystery, Police, Shounen"
Aozora Shoujo-tai,"Action, Comedy, Military, Romance, Shounen"
Apartment!,"Comedy, Slice of Life"
Apfelland Monogatari,"Adventure, Drama, Historical"
Appleseed,"Action, Adventure, Mecha, Police, Sci-Fi"
Appleseed (Movie),"Action, Drama, Mecha, Military, Police, Sci-Fi, Shounen"
Appleseed Alpha,"Action, Adventure, Mecha, Military, Police, Sci-Fi"
Appleseed Saga Ex Machina,"Action, Mecha, Military, Sci-Fi"
Appleseed XIII,"Action, Mecha, Military, Police, Sci-Fi"
Appleseed XIII Remix Movie 1: Yuigon,"Action, Mecha, Military, Police, Sci-Fi"
Appleseed XIII Remix Movie 2: Yogen,"Action, Mecha, Military, Police, Sci-Fi"
Aquarian Age: Saga II - Don&#039;t Forget Me...,"Action, Drama, Super Power"
Aquarian Age: Sign for Evolution,"Action, Adventure, Fantasy, Music, Romance, Sci-Fi, Shounen, Super Power, Supernatural"
Aquarion Evol,"Action, Comedy, Drama, Fantasy, Mecha, Romance, Sci-Fi"
Aquarion Logos,"Action, Comedy, Drama, Fantasy, Mecha, Romance, Sci-Fi"
Aquarion Movie: Ippatsu Gyakuten-hen,"Drama, Fantasy, Mecha"
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,"Action, Adventure, Fantasy, Magic, Sci-Fi"
Arabian Nights: Sindbad no Bouken,"Action, Adventure, Fantasy"
Arabian Nights: Sindbad no Bouken (TV),"Adventure, Fantasy, Magic, Romance"
Arad Senki: Slap Up Party,"Action, Adventure, Comedy, Fantasy"
Araiguma Rascal,"Drama, Historical, Slice of Life"
Arakawa Under the Bridge,"Comedy, Romance, Seinen"
Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen"
Arashi no Yoru ni,"Adventure, Comedy, Drama, Fantasy"
Arashi no Yoru ni: Himitsu no Tomodachi,"Adventure, Drama"
Arata Kangatari,"Adventure, Fantasy, Shounen"
Arata naru Sekai: World&#039;s/Start/Load/End,Sci-Fi
Arbeit Shiyo!!,Hentai
Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi"
Arcade Gamer Fubuki,"Action, Comedy, Ecchi, Parody, Shounen, Sports, Super Power"
Arcade Gamer Fubuki Extra,"Action, Adventure, Comedy, Ecchi, Game, Parody, School"
Arcana Famiglia,"Action, Harem, Romance, Shoujo"
Arcana Famiglia: Capriccio - stile Arcana Famiglia,"Romance, Shoujo"
Area 88,"Action, Adventure, Drama, Military, Romance"
Area 88 (TV),"Action, Drama, Military, Romance, Shounen"
Area 88 Movie,"Action, Adventure, Drama, Military, Romance"
Area no Kishi,"Comedy, School, Shounen, Sports"
